"Date";"D0";"Value"
"2014-07";"OBB";"2.8708"
"2014-07";"MBB";"1.1462"
"2014-07";"FH";"1.6132"
"2014-07";"FI";"1.7315"
"2014-08";"K";"4.9402"
"2014-08";"OBB";"2.9451"
"2014-08";"MBB";"1.1783"
"2014-08";"FH";"1.6365"
"2014-08";"FI";"1.6298"
"2014-09";"K";"4.9943"
"2014-09";"OBB";"2.9232"
"2014-09";"MBB";"1.1296"
"2014-09";"FH";"1.571"
"2014-09";"FI";"1.6045"
"2014-10";"K";"4.9689"
"2014-10";"OBB";"2.8332"
"2014-10";"MBB";"1.1268"
"2014-10";"FH";"1.5615"
"2014-10";"FI";"1.6875"
"2014-11";"K";"4.9314"
"2014-11";"OBB";"2.8655"
"2014-11";"MBB";"1.1365"
"2014-11";"FH";"1.5287"
"2014-11";"FI";"1.5949"
"2014-12";"K";"4.8405"
"2014-12";"OBB";"2.8623"
"2014-12";"MBB";"1.0617"
"2014-12";"FH";"1.5483"
"2014-12";"FI";"1.6611"
"2015-01";"K";"4.6871"
"2015-01";"OBB";"2.9302"
"2015-01";"MBB";"1.0736"
"2015-01";"FH";"1.4472"
"2015-01";"FI";"1.7097"
"2015-02";"K";"5.2037"
"2015-02";"OBB";"2.9372"
"2015-02";"MBB";"1.0772"
"2015-02";"FH";"1.4117"
"2015-02";"FI";"1.6336"
"2015-03";"K";"4.8459"
"2015-03";"OBB";"2.8979"
"2015-03";"MBB";"1.0968"
"2015-03";"FH";"1.4412"
"2015-03";"FI";"1.6787"
"2015-04";"K";"4.9729"
"2015-04";"OBB";"2.8234"
"2015-04";"MBB";"1.116"
"2015-04";"FH";"1.4759"
"2015-04";"FI";"1.7046"
"2015-05";"K";"5.1995"
"2015-05";"OBB";"2.8683"
"2015-05";"MBB";"1.1222"
"2015-05";"FH";"1.4722"
"2015-05";"FI";"1.6487"
"2015-06";"K";"5.0845"
"2015-06";"OBB";"2.8973"
"2015-06";"MBB";"1.1302"
"2015-06";"FH";"1.5102"
"2015-06";"FI";"1.6921"
"2015-07";"K";"5.1943"
"2015-07";"OBB";"2.8912"
"2015-07";"MBB";"1.173"
"2015-07";"FH";"1.5231"
"2015-07";"FI";"1.7216"
"2015-08";"K";"4.8245"
"2015-08";"OBB";"2.8744"
"2015-08";"MBB";"1.16"
"2015-08";"FH";"1.5089"
"2015-08";"FI";"1.682"
"2015-09";"K";"4.9595"
"2015-09";"OBB";"2.8497"
"2015-09";"MBB";"1.1617"
"2015-09";"FH";"1.4712"
"2015-09";"FI";"1.6758"
"2015-10";"K";"4.8638"
"2015-10";"OBB";"2.8122"
"2015-10";"MBB";"1.1595"
"2015-10";"FH";"1.5062"
"2015-10";"FI";"1.6981"
"2015-11";"K";"4.9143"
"2015-11";"OBB";"2.8788"
"2015-11";"MBB";"1.16"
"2015-11";"FH";"1.494"
"2015-11";"FI";"1.7003"
"2015-12";"K";"4.8122"
"2015-12";"OBB";"2.8594"
"2015-12";"MBB";"1.1215"
"2015-12";"FH";"1.4606"
"2015-12";"FI";"1.7342"
"2016-01";"K";"4.291"
"2016-01";"OBB";"2.7987"
"2016-01";"MBB";"1.1524"
"2016-01";"FH";"1.4624"
"2016-01";"FI";"1.709"
"2016-02";"K";"5.0242"
"2016-02";"OBB";"2.8412"
"2016-02";"MBB";"1.1171"
"2016-02";"FH";"1.4285"
"2016-02";"FI";"1.7007"
"2016-03";"K";"5.1608"
"2016-03";"OBB";"2.831"
"2016-03";"MBB";"1.0988"
"2016-03";"FH";"1.4165"
"2016-03";"FI";"1.7339"
"2016-04";"K";"4.9289"
"2016-04";"OBB";"2.7899"
"2016-04";"MBB";"1.1284"
"2016-04";"FH";"1.4283"
"2016-04";"FI";"1.7035"
"2016-05";"K";"5.023"
"2016-05";"OBB";"2.81"
"2016-05";"MBB";"1.1398"
"2016-05";"FH";"1.4243"
"2016-05";"FI";"1.6685"
"2016-06";"K";"4.9909"
"2016-06";"OBB";"2.8488"
"2016-06";"MBB";"1.1407"
"2016-06";"FH";"1.3922"
"2016-06";"FI";"1.7168"
"2016-07";"K";"5.0968"
"2016-07";"OBB";"2.8488"
"2016-07";"MBB";"1.1454"
"2016-07";"FH";"1.3921"
"2016-07";"FI";"1.724"
"2016-08";"K";"5.1883"
"2016-08";"OBB";"2.8295"
"2016-08";"MBB";"1.1961"
"2016-08";"FH";"1.4133"
"2016-08";"FI";"1.6861"
"2016-09";"K";"5.0868"
"2016-09";"OBB";"2.8357"
"2016-09";"MBB";"1.1127"
"2016-09";"FH";"1.3554"
"2016-09";"FI";"1.6985"
"2016-10";"K";"4.9692"
"2016-10";"OBB";"2.7967"
"2016-10";"MBB";"1.1583"
"2016-10";"FH";"1.4064"
"2016-10";"FI";"1.6961"
"2016-11";"K";"4.9566"
"2016-11";"OBB";"2.82"
"2016-11";"MBB";"1.115"
"2016-11";"FH";"1.37"
"2016-11";"FI";"1.6913"
"2016-12";"K";"4.6924"
"2016-12";"OBB";"2.8082"
"2016-12";"MBB";"1.0933"
"2016-12";"FH";"1.3787"
"2016-12";"FI";"1.6851"
"2017-01";"K";"4.668"
"2017-01";"OBB";"2.7912"
"2017-01";"MBB";"1.1338"
"2017-01";"FH";"1.3653"
"2017-01";"FI";"1.7382"
"2017-02";"K";"4.5861"
"2017-02";"OBB";"2.7471"
"2017-02";"MBB";"1.0724"
"2017-02";"FH";"1.3746"
"2017-02";"FI";"1.7016"
"2017-03";"K";"4.737"
"2017-03";"OBB";"2.5732"
"2017-03";"MBB";"1.047"
"2017-03";"FH";"1.35"
"2017-03";"FI";"1.7156"
"2017-04";"K";"5.047"
"2017-04";"OBB";"2.8228"
"2017-04";"MBB";"1.113"
"2017-04";"FH";"1.3701"
"2017-04";"FI";"1.6749"
"2017-05";"K";"4.8184"
"2017-05";"OBB";"2.7703"
"2017-05";"MBB";"1.0717"
"2017-05";"FH";"1.3654"
"2017-05";"FI";"1.6685"
"2017-06";"K";"4.9769"
"2017-06";"OBB";"2.8142"
"2017-06";"MBB";"1.0123"
"2017-06";"FH";"1.3228"
"2017-06";"FI";"1.6958"
"2017-07";"K";"4.721"
"2017-07";"OBB";"2.8171"
"2017-07";"MBB";"1.1123"
"2017-07";"FH";"1.3625"
"2017-07";"FI";"1.7115"
"2017-08";"K";"4.9151"
"2017-08";"OBB";"2.7698"
"2017-08";"MBB";"1.0874"
"2017-08";"FH";"1.3698"
"2017-08";"FI";"1.7348"
"2017-09";"K";"4.8913"
"2017-09";"OBB";"2.714"
"2017-09";"MBB";"1.0831"
"2017-09";"FH";"1.305"
"2017-09";"FI";"1.6835"
"2017-10";"K";"5.0791"
"2017-10";"OBB";"2.7839"
"2017-10";"MBB";"1.0763"
"2017-10";"FH";"1.33"
"2017-10";"FI";"1.722"
"2017-11";"K";"5.2717"
"2017-11";"OBB";"2.7417"
"2017-11";"MBB";"1.0526"
"2017-11";"FH";"1.3561"
"2017-11";"FI";"1.7018"
"2017-12";"K";"4.591"
"2017-12";"OBB";"2.7961"
"2017-12";"MBB";"1.0216"
"2017-12";"FH";"1.3449"
"2017-12";"FI";"1.7102"
"2018-01";"K";"4.6511"
"2018-01";"OBB";"2.7797"
"2018-01";"MBB";"1.0643"
"2018-01";"FH";"1.3553"
"2018-01";"FI";"1.6897"
"2018-02";"K";"4.5353"
"2018-02";"OBB";"2.7222"
"2018-02";"MBB";"1.0265"
"2018-02";"FH";"1.3476"
"2018-02";"FI";"1.6797"
"2018-03";"K";"4.5733"
"2018-03";"OBB";"2.7894"
"2018-03";"MBB";"1.0303"
"2018-03";"FH";"1.3597"
"2018-03";"FI";"1.6419"
"2018-04";"K";"4.6877"
"2018-04";"OBB";"2.7767"
"2018-04";"MBB";"1.0549"
"2018-04";"FH";"1.3771"
"2018-04";"FI";"1.6773"
"2018-05";"K";"4.8645"
"2018-05";"OBB";"2.8038"
"2018-05";"MBB";"1.0773"
"2018-05";"FH";"1.3808"
"2018-05";"FI";"1.6368"
"2018-06";"K";"4.7435"
"2018-06";"OBB";"2.803"
"2018-06";"MBB";"1.0468"
"2018-06";"FH";"1.4058"
"2018-06";"FI";"1.6603"
"2018-07";"K";"4.7797"
"2018-07";"OBB";"2.8209"
"2018-07";"MBB";"1.0809"
"2018-07";"FH";"1.438"
"2018-07";"FI";"1.6609"
"2018-08";"K";"4.6856"
"2018-08";"OBB";"2.8279"
"2018-08";"MBB";"1.0836"
"2018-08";"FH";"1.361"
"2018-08";"FI";"1.6438"
"2018-09";"K";"4.6101"
"2018-09";"OBB";"2.7487"
"2018-09";"MBB";"1.0426"
"2018-09";"FH";"1.3771"
"2018-09";"FI";"1.6609"
"2018-10";"K";"4.5966"
"2018-10";"OBB";"2.7507"
"2018-10";"MBB";"1.0386"
"2018-10";"FH";"1.3767"
"2018-10";"FI";"1.7084"
"2018-11";"K";"4.8796"
